Age,Tenure,Salary,Performance Rating,Projects Completed,Training Hours,Promotions,Overtime Hours,Satisfaction Level,Average Monthly Hours Worked,Absenteeism,Distance from Home,Manager Feedback Score,Churn,Department_IT,Department_Marketing,Department_Sales,Gender_Male,Gender_Other,Education Level_High School,Education Level_Master's,Education Level_PhD,Marital Status_Married,Marital Status_Single,Job Role_Developer,Job Role_Manager,Job Role_Sales,Work Location_On-site,Work Location_Remote,Work-Life Balance_Excellent,Work-Life Balance_Good,Work-Life Balance_Poor
0.1351351351351352,0.2857142857142857,0.46154038488785903,0.75,0.04081632653061224,0.030303030303030304,0.0,0.8571428571428571,0.61,0.7449664429530203,0.42105263157894735,0.9183673469387754,0.4777777777777777,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.1351351351351352,1.0,0.1820757940708267,0.75,0.836734693877551,0.7777777777777778,0.0,0.7551020408163265,0.56,0.3959731543624161,0.15789473684210525,0.7346938775510203,0.27777777777777773,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.29729729729729726,0.0,0.39603110440645756,1.0,0.673469387755102,0.9494949494949496,0.0,0.8163265306122448,0.18,0.2617449664429532,0.7368421052631579,0.3469387755102041,0.3444444444444444,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.21621621621621623,0.8571428571428571,0.7068418025887,0.25,0.2040816326530612,0.3535353535353536,0.0,0.8979591836734693,0.36,0.12751677852349008,0.21052631578947367,0.22448979591836732,0.8333333333333333,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.6216216216216216,0.6428571428571428,0.6473500412558446,0.75,0.5102040816326531,0.8181818181818182,0.0,0.0,0.69,0.2885906040268458,0.7894736842105263,0.12244897959183673,0.12222222222222223,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0.16216216216216217,0.5,0.3808956268804747,1.0,0.5510204081632653,0.494949494949495,0.0,0.9795918367346939,0.02,0.7785234899328859,0.3157894736842105,0.14285714285714285,0.7222222222222221,1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.3513513513513514,0.42857142857142855,0.46541593392397246,0.75,0.836734693877551,0.8787878787878789,0.0,0.836734693877551,0.33,0.993288590604027,0.6842105263157894,0.3061224489795918,0.08888888888888888,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.5675675675675677,0.3571428571428571,0.8066892809814723,0.5,0.3877551020408163,0.9090909090909092,0.0,0.2857142857142857,0.59,0.8523489932885906,0.15789473684210525,0.3061224489795918,0.25555555555555554,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.6756756756756758,0.6428571428571428,0.28058141570055756,0.5,0.673469387755102,0.9292929292929294,0.0,0.9795918367346939,0.2,0.8322147651006713,0.9473684210526315,0.9387755102040816,0.12222222222222223,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.891891891891892,0.14285714285714285,0.29465007542735216,0.0,0.6122448979591836,0.5252525252525253,1.0,0.16326530612244897,0.91,0.6912751677852349,0.8421052631578947,0.6326530612244897,0.7999999999999998,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.3513513513513514,0.6428571428571428,0.4119750297958877,0.25,0.04081632653061224,0.15151515151515152,0.0,0.6938775510204082,0.61,0.06040268456375841,0.21052631578947367,0.08163265306122448,0.18888888888888888,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.5945945945945946,0.42857142857142855,0.13185201236841881,1.0,0.22448979591836732,0.9393939393939394,0.0,0.6122448979591836,0.36,0.3691275167785235,0.42105263157894735,0.44897959183673464,0.08888888888888888,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,0.14285714285714285,0.7697090421142996,1.0,0.7755102040816326,0.494949494949495,0.0,0.5306122448979591,0.72,0.5167785234899329,0.7894736842105263,0.6122448979591836,0.8111111111111111,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,0.42857142857142855,0.680513072685297,0.0,0.673469387755102,0.17171717171717174,0.0,0.6530612244897959,0.56,0.12080536912751683,0.8421052631578947,0.6122448979591836,0.044444444444444425,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
